ATDNNR,Country,Subdivision,Site,PlotCode,Forest_old,Forest,NewForest,Altitude,Latitude,Longitude,PlotSize,PlotType,DBHmin,N,co-author,Owner/contact
4,Brazil,Mato Grosso,"Rio von den Steinen, Refugio do Xingu 1",VONST01,terra firme forest,TF,TFBS,,-12.13,-54.08,1,single,10,580,y,Carlos Peres
5,Brazil,Mato Grosso,"Rio von den Steinen, Refugio do Xingu 2",VONST02,terra firme forest,TF,TFBS,,-12.14,-54.11,1,single,10,573,y,Carlos Peres
9,Brazil,Roraima,Ilha de Maraca PFRa,IM_PPF,"semideciduous forest, some Peltogyne",TF,TFGS,,3.34,-61.33,0.75,single,10,301,y,Marcelo Trindade Nascimento
10,Brazil,Roraima,Ilha de Maraca PFRb,IM_PRF,"semideciduous forest, dominated by Peltogyne",TF,TFGS,,3.34,-61.33,0.75,single,10,348,y,Marcelo Trindade Nascimento
11,Brazil,Roraima,Ilha de Maraca PWPa,IM_FWP,"semideciduous forest, no Peltogyne",TF,TFGS,,3.35,-61.33,0.75,single,10,221,y,Marcelo Trindade Nascimento
17,Colombia,Meta,Tinigua Park plot 1,TINP_01,TF,TF,TFPB,,2.62,-74.04,1,single,10,627,y,Pablo Stevenson
18,Colombia,Meta,Tinigua Park plot 2,TINP_02,FL,VA,VA,,2.62,-74.04,1,single,10,415,y,Pablo Stevenson
19,Colombia,Meta,Tinigua Park plot 3,TINP_03,TF,TF,TFPB,,2.62,-74.04,1,single,10,736,y,Pablo Stevenson
20,Colombia,Meta,Tinigua Park plot 4,TINP_04,TF,TF,TFPB,,2.62,-74.04,1,single,10,628,y,Pablo Stevenson
21,Colombia,Meta,Tinigua Park plot 6,TINP_06,TF,TF,TFPB,,2.62,-74.04,1,single,10,568,y,Pablo Stevenson
22,French Guiana,Saül,"Saül, La Douane",SLD,terra firme,TF,TFGS,,3.62,-53.18,1,single,10,522,y,"Daniel Sabatier, Jean-François Molino"
23,French Guiana,Régina,"Montagne Tortue, plot 1",TORT1,terra firme,TF,TFGS,,4.22,-52.41,1,single,10,503,y,"Daniel Sabatier, Jean-François Molino"
24,French Guiana,Régina,"Montagne Tortue, plot 2",TORT2,terra firme,TF,TFGS,,4.22,-52.41,1,single,10,479,y,"Daniel Sabatier, Jean-François Molino"
25,Peru,Cusco,Pagoreni,CAM_04,TF,TF,TFPB,,-11.79,-72.7,1,single,10,575,y,"Alfonso Alonso, Francisco Dallmeier, Percy Núñez Vargas, William Nauray"
26,Peru,Cusco,Peruanita,CAM_05,TF,TF,TFPB,350,-11.68,-72.99,1,single,10,616,y,"Alfonso Alonso, Francisco Dallmeier, Percy Núñez Vargas, William Nauray"
